                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     34,                 1.6025,                  1.126,                 1.4799,                0.81191,                0.88186,                 0.9103,                0.45509,                 1.6644,                 1.0182,                 1.5089,              0.0096733,              0.0096733,              0.0096733
                     35,                 1.6253,                 1.1143,                 1.4972,                 0.8649,                0.87803,                0.92746,                0.50107,                 1.4794,                0.96802,                 1.4176,              0.0096634,              0.0096634,              0.0096634
                     36,                 1.5912,                 1.0957,                 1.4789,                0.80776,                0.83782,                0.89013,                0.42354,                  1.729,                 1.0535,                 1.5223,              0.0096535,              0.0096535,              0.0096535
                     37,                 1.5719,                 1.0635,                 1.4727,                0.85247,                0.87126,                0.92744,                0.47705,                 1.5561,                0.95097,                 1.4406,              0.0096436,              0.0096436,              0.0096436
                     38,                 1.6042,                 1.0963,                 1.4775,                0.87099,                0.84431,                0.91775,                 0.4904,                 1.5234,                0.94346,                 1.4594,              0.0096337,              0.0096337,              0.0096337
                     39,                 1.5948,                 1.0786,                 1.4618,                0.85223,                0.74557,                0.85813,                 0.4363,                 1.6501,                  1.204,                  1.521,              0.0096238,              0.0096238,              0.0096238
                     40,                 1.5849,                 1.0942,                 1.4558,                0.73494,                0.59345,                0.71621,                0.36661,                 1.7256,                 1.6805,                 1.6605,              0.0096139,              0.0096139,              0.0096139
                     41,                 1.5671,                 1.0681,                 1.4495,                0.88235,                0.88403,                 0.9358,                0.51021,                 1.4531,                0.90684,                 1.4023,               0.009604,               0.009604,               0.009604
                     42,                  1.545,                 1.0898,                 1.4705,                0.89944,                0.91862,                0.95544,                0.50649,                 1.5164,                 0.8869,                 1.4449,              0.0095941,              0.0095941,              0.0095941
                     43,                 1.5261,                 1.0206,                 1.4232,                0.89526,                0.91342,                0.95217,                0.50611,                 1.5237,                0.87421,                 1.4044,              0.0095842,              0.0095842,              0.0095842
                     44,                 1.5545,                 1.0491,                 1.4458,                0.87174,                0.90228,                0.94036,                0.50778,                 1.4547,                0.86999,                 1.3772,              0.0095743,              0.0095743,              0.0095743
                     45,                 1.5219,                 1.0374,                  1.432,                0.76206,                  0.703,                0.79038,                0.40291,                 1.6934,                 1.2718,                 1.5708,              0.0095644,              0.0095644,              0.0095644
                     46,                 1.5366,                 1.0298,                 1.4214,                0.88798,                0.88774,                0.94451,                0.52233,                 1.4421,                0.90747,                 1.3773,              0.0095545,              0.0095545,              0.0095545
                     47,                 1.5129,                 1.0325,                 1.4168,                0.86785,                0.90233,                0.93975,                0.52498,                 1.4791,                0.91141,                 1.3977,              0.0095446,              0.0095446,              0.0095446
                     48,                 1.5013,                 1.0058,                  1.397,                0.90523,                0.93009,                0.95758,                0.54674,                 1.3932,                0.87121,                 1.3557,              0.0095347,              0.0095347,              0.0095347
                     49,                 1.5254,                 1.0145,                 1.4076,                0.87566,                0.90676,                0.94403,                0.50355,                 1.5076,                0.89233,                 1.4402,              0.0095248,              0.0095248,              0.0095248
                     50,                 1.4938,                0.99423,                 1.3941,                0.89173,                0.93217,                0.95802,                0.53285,                 1.4179,                0.85682,                 1.3605,              0.0095149,              0.0095149,              0.0095149
                     51,                   1.53,                 1.0125,                 1.4009,                 0.9028,                 0.8937,                0.94779,                0.50906,                 1.5041,                0.88109,                 1.4467,               0.009505,               0.009505,               0.009505
                     52,                 1.5099,                 1.0055,                 1.4098,                 0.9072,                0.92563,                0.95773,                0.53905,                 1.4144,                0.84984,                 1.3549,              0.0094951,              0.0094951,              0.0094951
                     53,                 1.5062,                 1.0036,                 1.4068,                0.88702,                0.91493,                0.95213,                0.53811,                 1.3882,                0.88226,                 1.3336,              0.0094852,              0.0094852,              0.0094852
                     54,                 1.4958,                0.98214,                 1.3972,                0.90716,                0.89903,                0.94402,                0.51625,                 1.4775,                0.89648,                 1.3939,              0.0094753,              0.0094753,              0.0094753
                     55,                 1.4994,                 1.0161,                 1.4121,                0.89481,                0.91225,                0.96127,                0.54319,                 1.4249,                0.84805,                 1.3585,              0.0094654,              0.0094654,              0.0094654
                     56,                 1.4673,                0.95567,                 1.3541,                0.91543,                0.92912,                0.96097,                0.54644,                 1.4179,                0.82905,                 1.3639,              0.0094555,              0.0094555,              0.0094555
                     57,                 1.4535,                0.97995,                 1.3907,                0.88238,                0.87289,                0.94013,                 0.5145,                 1.4862,                0.92399,                 1.3925,              0.0094456,              0.0094456,              0.0094456
                     58,                  1.497,                0.99366,                 1.3945,                0.83884,                0.78379,                0.87331,                0.43542,                  1.643,                 1.0477,                 1.5006,              0.0094357,              0.0094357,              0.0094357
                     59,                 1.4923,                0.97684,                 1.3921,                0.85938,                0.82675,                0.92124,                0.51046,                 1.4627,                 1.0203,                 1.4035,              0.0094258,              0.0094258,              0.0094258
                     60,                 1.4821,                0.95487,                 1.3538,                0.91334,                0.88824,                0.95979,                0.54744,                 1.4176,                  0.848,                 1.3438,              0.0094159,              0.0094159,              0.0094159
                     61,                 1.5002,                0.97305,                 1.3647,                0.90402,                0.89603,                0.95577,                0.49694,                 1.5437,                  0.882,                 1.4142,               0.009406,               0.009406,               0.009406
                     62,                  1.451,                0.96558,                 1.3496,                 0.6438,                0.50581,                0.61608,                0.30327,                 1.7946,                 1.9882,                  1.646,              0.0093961,              0.0093961,              0.0093961
                     63,                  1.434,                0.93648,                 1.3619,                0.92971,                0.93677,                0.96518,                0.57285,                 1.3696,                0.79442,                 1.3512,              0.0093862,              0.0093862,              0.0093862
                     64,                 1.4248,                0.95317,                 1.3567,                0.93676,                0.94133,                0.96957,                0.57558,                  1.319,                0.83288,                 1.3084,              0.0093763,              0.0093763,              0.0093763
                     65,                 1.4548,                0.96256,                 1.3813,                0.91619,                0.91781,                0.96038,                0.56048,                 1.3916,                0.85035,                 1.3559,              0.0093664,              0.0093664,              0.0093664
                     66,                 1.4385,                0.94902,                 1.3607,                0.89887,                0.92482,                0.95766,                0.52626,                 1.4399,                0.83079,                 1.3538,              0.0093565,              0.0093565,              0.0093565
                     67,                 1.4599,                0.96147,                 1.3774,                0.91738,                0.89167,                0.96271,                0.53124,                 1.5046,                0.81673,                 1.3682,              0.0093466,              0.0093466,              0.0093466
                     68,                 1.4198,                0.93752,                 1.3344,                0.79594,                0.61063,                0.73848,                0.37877,                 1.7317,                 1.5385,                  1.588,              0.0093367,              0.0093367,              0.0093367
                     69,                 1.4389,                0.94239,                  1.345,                0.91934,                0.95199,                0.97352,                0.58634,                   1.33,                0.78415,                 1.3119,              0.0093268,              0.0093268,              0.0093268
                     70,                 1.4279,                0.94699,                 1.3728,                0.92509,                0.92668,                0.96993,                0.56768,                  1.382,                0.79676,                 1.3213,              0.0093169,              0.0093169,              0.0093169
                     71,                 1.4277,                 0.9095,                 1.3179,                  0.917,                0.90863,                0.96788,                0.55615,                 1.4421,                 0.8114,                 1.3586,               0.009307,               0.009307,               0.009307
                     72,                 1.4259,                0.92108,                 1.3432,                 0.9277,                0.91806,                0.96173,                0.57148,                 1.3849,                0.80183,                 1.3509,              0.0092971,              0.0092971,              0.0092971
                     73,                 1.3789,                0.90189,                 1.3179,                0.91683,                0.93722,                0.96608,                0.56533,                 1.3767,                0.80871,                 1.3516,              0.0092872,              0.0092872,              0.0092872
                     74,                 1.4238,                0.94018,                 1.3296,                0.91627,                0.93026,                0.96687,                0.56383,                 1.3751,                 0.8103,                 1.3324,              0.0092773,              0.0092773,              0.0092773
                     75,                 1.4031,                0.90052,                 1.3271,                 0.8956,                0.91142,                0.96042,                 0.5478,                  1.424,                0.84336,                 1.3625,              0.0092674,              0.0092674,              0.0092674
                     76,                 1.4215,                0.90851,                 1.3285,                0.91749,                0.95955,                0.97418,                0.57359,                 1.3544,                0.77013,                 1.3045,              0.0092575,              0.0092575,              0.0092575
                     77,                   1.38,                0.90609,                 1.3181,                0.83868,                0.65308,                0.80502,                0.41716,                 1.6539,                 1.3939,                 1.5149,              0.0092476,              0.0092476,              0.0092476
                     78,                 1.4025,                0.91212,                 1.3271,                0.88256,                0.92569,                0.96399,                0.57335,                 1.3614,                0.80175,                 1.3149,              0.0092377,              0.0092377,              0.0092377
                     79,                  1.393,                0.90387,                 1.3215,                0.93913,                0.96258,                 0.9782,                0.60138,                 1.2759,                0.75731,                 1.2622,              0.0092278,              0.0092278,              0.0092278
                     80,                 1.3835,                0.87702,                 1.2991,                0.93113,                0.94766,                0.97525,                0.56401,                 1.4172,                0.80506,                 1.3807,              0.0092179,              0.0092179,              0.0092179
                     81,                 1.4033,                 0.9005,                 1.3304,                0.92065,                 0.9228,                0.96903,                0.58359,                 1.3361,                0.82105,                 1.3156,               0.009208,               0.009208,               0.009208
                     82,                 1.3598,                0.88516,                 1.3086,                0.93256,                0.94295,                0.97525,                0.58197,                 1.2944,                 0.7962,                 1.2936,              0.0091981,              0.0091981,              0.0091981
                     83,                 1.3656,                0.88272,                 1.3014,                0.92884,                0.94642,                0.97461,                0.58277,                 1.3407,                0.76171,                 1.3175,              0.0091882,              0.0091882,              0.0091882
                     84,                  1.363,                0.87681,                 1.3111,                0.93881,                0.95998,                0.97842,                0.59471,                 1.3029,                0.74241,                 1.2899,              0.0091783,              0.0091783,              0.0091783
                     85,                 1.3816,                 0.8919,                 1.3131,                 0.9223,                0.81137,                0.89635,                0.50571,                 1.4527,                0.92665,                 1.3834,              0.0091684,              0.0091684,              0.0091684
                     86,                 1.4068,                0.90558,                 1.3296,                0.92475,                0.93123,                0.96765,                0.57858,                 1.3404,                0.77535,                 1.3022,              0.0091585,              0.0091585,              0.0091585
                     87,                  1.351,                0.86546,                 1.3024,                0.92263,                0.92245,                0.96735,                0.59868,                 1.2799,                0.76875,                 1.2704,              0.0091486,              0.0091486,              0.0091486
                     88,                 1.3379,                0.85992,                    1.3,                0.92872,                0.95983,                0.97539,                 0.6071,                 1.2497,                0.74255,                 1.2477,              0.0091387,              0.0091387,              0.0091387
                     89,                 1.3574,                0.86733,                  1.298,                  0.929,                 0.9467,                0.97555,                0.59902,                 1.2897,                0.76106,                 1.2747,              0.0091288,              0.0091288,              0.0091288
                     90,                 1.3619,                0.85722,                 1.3027,                0.94514,                0.96261,                0.97887,                0.59993,                 1.3068,                0.74455,                 1.2534,              0.0091189,              0.0091189,              0.0091189
                     91,                 1.3891,                 0.8687,                  1.308,                0.92601,                0.95674,                0.97409,                0.57404,                 1.3425,                0.75797,                 1.3175,               0.009109,               0.009109,               0.009109
                     92,                 1.3512,                 0.8607,                 1.2904,                0.91712,                0.92414,                0.96317,                0.58922,                 1.2934,                0.76857,                 1.2644,              0.0090991,              0.0090991,              0.0090991
                     93,                 1.3396,                0.84247,                 1.2927,                0.90399,                0.88511,                0.94771,                0.56463,                 1.3554,                0.80956,                  1.297,              0.0090892,              0.0090892,              0.0090892
                     94,                 1.3302,                0.84863,                 1.2973,                0.93679,                0.97047,                0.98191,                 0.6026,                   1.29,                0.73571,                 1.2657,              0.0090793,              0.0090793,              0.0090793
                     95,                 1.3135,                0.83065,                 1.2687,                0.92357,                0.95552,                0.97415,                0.58307,                 1.3457,                0.74988,                 1.3163,              0.0090694,              0.0090694,              0.0090694
                     96,                 1.3531,                0.86181,                 1.2991,                 0.9067,                0.93472,                0.96277,                0.52509,                 1.5451,                0.81129,                 1.4165,              0.0090595,              0.0090595,              0.0090595
                     97,                  1.321,                0.83528,                 1.2678,                0.92902,                0.94093,                0.97696,                 0.5994,                 1.3033,                0.73976,                 1.2768,              0.0090496,              0.0090496,              0.0090496
                     98,                 1.3183,                0.84216,                 1.2909,                  0.926,                0.94787,                 0.9748,                0.60335,                 1.2745,                 0.7298,                  1.253,              0.0090397,              0.0090397,              0.0090397
                     99,                 1.3027,                0.82377,                 1.2813,                0.93896,                0.95774,                0.97724,                0.59762,                 1.2974,                0.72354,                 1.2779,              0.0090298,              0.0090298,              0.0090298
                    100,                 1.3348,                0.84594,                 1.3081,                0.95251,                0.95805,                 0.9807,                 0.6105,                 1.2633,                0.71669,                 1.2564,              0.0090199,              0.0090199,              0.0090199
                    101,                  1.344,                0.83796,                 1.2824,                0.93326,                0.92683,                0.97006,                0.58149,                 1.3421,                0.76975,                 1.2914,                0.00901,                0.00901,                0.00901
                    102,                 1.3032,                0.82768,                 1.2671,                0.94773,                0.97246,                0.98346,                0.60812,                 1.2709,                0.71714,                 1.2491,              0.0090001,              0.0090001,              0.0090001
                    103,                 1.2932,                0.81064,                 1.2435,                0.93796,                0.93033,                0.97024,                0.57296,                 1.3411,                0.75324,                 1.2815,              0.0089902,              0.0089902,              0.0089902
                    104,                 1.3211,                0.81395,                 1.2711,                0.94688,                0.94059,                0.97691,                0.60609,                 1.2503,                0.74064,                 1.2522,              0.0089803,              0.0089803,              0.0089803
                    105,                 1.2944,                0.80608,                 1.2476,                0.93239,                 0.9379,                0.97673,                 0.5978,                 1.3026,                0.72752,                 1.3134,              0.0089704,              0.0089704,              0.0089704
                    106,                 1.2834,                0.83374,                 1.2667,                 0.9499,                0.96157,                0.97797,                 0.6207,                 1.2124,                0.70127,                 1.2358,              0.0089605,              0.0089605,              0.0089605
                    107,                 1.3043,                0.82303,                 1.2695,                0.91869,                  0.957,                0.96855,                0.60479,                 1.2587,                0.72818,                 1.2391,              0.0089506,              0.0089506,              0.0089506
                    108,                 1.2857,                 0.8072,                 1.2455,                0.93041,                0.98093,                0.97569,                0.62393,                 1.2064,                0.70495,                 1.2148,              0.0089407,              0.0089407,              0.0089407
                    109,                 1.2826,                0.80491,                 1.2465,                0.93935,                0.93319,                0.97951,                0.57344,                 1.3524,                0.77823,                 1.2971,              0.0089308,              0.0089308,              0.0089308
                    110,                 1.2945,                0.80129,                 1.2438,                0.95152,                0.95361,                 0.9812,                0.60333,                 1.2734,                 0.7352,                 1.2459,              0.0089209,              0.0089209,              0.0089209
                    111,                  1.296,                0.80284,                 1.2538,                0.94308,                0.95717,                0.97801,                0.60694,                 1.2802,                0.69056,                 1.2635,               0.008911,               0.008911,               0.008911
                    112,                 1.2716,                0.80418,                 1.2457,                0.95274,                0.93781,                0.98172,                0.62342,                 1.2279,                0.71139,                 1.2253,              0.0089011,              0.0089011,              0.0089011
                    113,                 1.2993,                 0.8079,                 1.2612,                 0.9386,                0.93268,                0.97117,                0.59666,                 1.3045,                0.71913,                  1.297,              0.0088912,              0.0088912,              0.0088912
                    114,                 1.2929,                0.82019,                 1.2625,                0.93799,                0.92947,                0.97851,                0.63248,                 1.2112,                0.71105,                  1.224,              0.0088813,              0.0088813,              0.0088813
                    115,                 1.2705,                0.79712,                  1.246,                0.94817,                0.96793,                0.98071,                0.60395,                 1.3091,                0.70747,                 1.2581,              0.0088714,              0.0088714,              0.0088714
                    116,                 1.3089,                0.80125,                 1.2458,                0.96427,                0.95595,                0.98227,                 0.6075,                 1.3016,                0.69539,                 1.2388,              0.0088615,              0.0088615,              0.0088615
                    117,                 1.2845,                0.81104,                 1.2422,                0.96586,                0.96102,                0.98626,                 0.6329,                 1.2246,                0.68642,                 1.2224,              0.0088516,              0.0088516,              0.0088516
                    118,                 1.3123,                0.80121,                 1.2503,                0.95162,                0.97483,                0.98334,                0.61275,                 1.2408,                0.69738,                 1.2367,              0.0088417,              0.0088417,              0.0088417
                    119,                 1.2998,                0.80286,                 1.2502,                0.94264,                0.94379,                0.97565,                0.61746,                 1.2523,                0.69659,                 1.2597,              0.0088318,              0.0088318,              0.0088318
                    120,                 1.2849,                0.79777,                  1.245,                0.94025,                0.93297,                0.97857,                0.62748,                 1.2367,                0.69964,                 1.2437,              0.0088219,              0.0088219,              0.0088219
                    121,                 1.2627,                0.78759,                  1.235,                0.94081,                0.92752,                0.97429,                0.62939,                 1.2288,                0.70863,                 1.2368,               0.008812,               0.008812,               0.008812
                    122,                 1.2544,                0.80469,                 1.2531,                0.95157,                0.92083,                0.97258,                0.60286,                 1.2964,                0.71878,                 1.2971,              0.0088021,              0.0088021,              0.0088021
                    123,                 1.2563,                0.79657,                 1.2409,                0.95075,                0.95542,                0.98113,                0.61277,                 1.2484,                0.73504,                 1.2558,              0.0087922,              0.0087922,              0.0087922
                    124,                 1.2587,                 0.7832,                 1.2151,                0.93672,                0.95701,                0.97665,                0.59632,                 1.3075,                0.71164,                 1.2954,              0.0087823,              0.0087823,              0.0087823
                    125,                 1.3023,                0.80481,                 1.2549,                0.93182,                0.92135,                0.96688,                0.57902,                  1.307,                0.73365,                 1.2743,              0.0087724,              0.0087724,              0.0087724
                    126,                 1.2618,                0.77628,                 1.2293,                0.94006,                0.91415,                0.96418,                0.60455,                 1.2568,                0.76258,                 1.2509,              0.0087625,              0.0087625,              0.0087625
                    127,                 1.2527,                0.77239,                  1.234,                0.95273,                 0.9696,                0.98391,                0.62727,                 1.2035,                0.67699,                 1.2048,              0.0087526,              0.0087526,              0.0087526
