                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.0913,                 3.6808,                  4.229,                0.00311,                0.93333,                0.01161,                0.00557,                 2.5673,                 3.9388,                 4.1546,                 0.0982,                 0.0002,                 0.0002
                      1,                 2.8605,                 3.6841,                  4.235,                0.00311,                0.93333,                 0.0184,                0.00661,                 2.5593,                 3.9101,                 4.1461,               0.095335,               0.000335,               0.000335
                      2,                 3.0475,                 3.6366,                 4.2043,                0.00311,                0.93333,                0.01464,                0.00626,                 2.5525,                 3.8888,                 4.1377,               0.092272,               0.000272,               0.000272
